Scheme Name	Net Asset Value
UTI Banking & PSU Debt Fund - Regular Plan - Annual IDCW	12.2219
UTI Banking & PSU Debt Fund - Regular Plan - Flexi IDCW	12.8571
UTI Banking & PSU Debt Fund - Regular Plan - Half-Yearly IDCW	12.8034
UTI Banking & PSU Debt Fund - Regular Plan - Monthly IDCW	12.563
UTI Banking & PSU Debt Fund - Regular Plan - Quarterly IDCW	13.1571
UTI Banking & PSU Debt Fund- Regular Plan - Growth Option	19.1726
	
	
	
	
	
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	99.2615
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	97.9114
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	11.3061
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.4704
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.7387
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.3214
Aditya Birla Sun Life Income Fund-Plan A(Dividend)	11.7535
Aditya Birla Sun Life Income Fund-Plan D(54EA Dividend)	10.6457
Aditya Birla Sun Life Income Fund-Plan E(54EA Growth)	35.2986
Aditya Birla Sun Life Income Fund-PLan F(54EB Dividend)	15.5708
Aditya Birla Sun Life Income Fund-Plan G(54EB Growth)	35.0763
	
	
	
Axis Corporate Debt Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Debt Fund - Direct Plan - Monthly IDCW	10.1949
Axis Corporate Debt Fund - Direct Plan - Regular IDCW	13.1963
Axis Corporate Debt Fund - Direct Plan - Weekly IDCW	10.3641
Axis Corporate Debt Fund - Direct Plan Growth	15.5516
Axis Corporate Debt Fund - Regular Plan - Daily IDCW	10.2347
Axis Corporate Debt Fund - Regular Plan - Monthly IDCW	10.1907
Axis Corporate Debt Fund - Regular Plan - Regular IDCW	12.5295
Axis Corporate Debt Fund - Regular Plan - Weekly IDCW	10.2461
Axis Corporate Debt Fund - Regular Plan Growth	14.8462
	
	
	
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.5348
BANDHAN Corporate Bond Fund - Direct Growth	17.2257
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.3568
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3486
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	11.4283
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.3935
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.5150
BANDHAN Corporate Bond Fund - Regular Growth	16.8210
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	10.7772
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.6019
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	11.3396
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.4379
	
	
	
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	10.6613
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	27.5558
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.1423
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.1555
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	10.8438
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	25.1567
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.2373
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.3230
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	10.5971
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	23.8097
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.1751
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.1674
	
	
	
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	20.3276
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.3046
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	19.1862
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.6165
	
	
	
DSP Corporate Bond Fund - Direct - Growth	14.1572
DSP Corporate Bond Fund - Direct - IDCW	11.5596
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.4357
DSP Corporate Bond Fund - Direct - IDCW - Quarterly 	11.1466
DSP Corporate Bond Fund - Regular - Growth	13.9773
DSP Corporate Bond Fund - Regular - IDCW	11.5246
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.4169
DSP Corporate Bond Fund - Regular - IDCW - Quarterly 	10.5165
	
	
	
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	92.5381
Franklin India Corporate Debt Fund - Growth	86.2760
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	16.6912
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	18.7021
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.4636
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	16.5482
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.4395
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.5341
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	14.8252
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	11.9378
	
	
	
HDFC Corporate Bond Fund - Growth Option	28.2826
HDFC Corporate Bond Fund - Growth Option - Direct Plan	28.7783
HDFC Corporate Bond Fund - IDCW Option	17.1214
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	17.6332
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.2896
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.1262
	
	
	
HSBC Corporate Bond Fund - Direct Annual IDCW	12.1326
HSBC Corporate Bond Fund - Direct Growth	67.4143
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.2996
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	19.7772
HSBC Corporate Bond Fund - Regular Annual IDCW	11.9385
HSBC Corporate Bond Fund - Regular Growth	63.6622
HSBC Corporate Bond Fund - Regular Quarterly IDCW	10.9481
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.6219
